X                  Y                  Z
        15009.0000              .0000     823828894.1002
        15009.0000              .0000     825110120.9961
        15009.0000              .0000     826391347.8921
        15009.0000              .0000     827672574.7880
        15009.0000              .0000     828953801.6840
        15009.0000              .0000     830235028.5799
        15009.0000              .0000     831516255.4759
        15009.0000              .0000     832797482.3719
        15009.0000              .0000     834078709.2678
        15009.0000              .0000     835359936.1638
        15009.0000              .0000     836641163.0597
        15009.0000              .0000     837922389.9557
        15009.0000              .0000     839203616.8516
        15009.0000              .0000     840484843.7476
        15009.0000              .0000     841766070.6436
        15009.0000              .0000     843047297.5395
        15009.0000              .0000     844328524.4355
        15009.0000              .0000     845609751.3314
        15009.0000              .0000     846890978.2274
        15009.0000              .0000     848172205.1233
        15009.0000              .0000     849453432.0193
        15009.0000              .0000     850734658.9153
        15009.0000              .0000     852015885.8112
        15009.0000              .0000     853297112.7072
        15009.0000              .0000     854578339.6031
        15009.0000              .0000     855859566.4991
        15009.0000              .0000     857140793.3950
        15009.0000              .0000     858422020.2910
        15009.0000              .0000     859703247.1870
        15009.0000              .0000     860984474.0829
        15009.0000              .0000     862265700.9789
        15009.0000              .0000     863546927.8748
        15009.0000              .0000     864828154.7708
        15009.0000              .0000     866109381.6667
        15009.0000              .0000     867390608.5627
        15009.0000              .0000     868671835.4586
        15009.0000              .0000     869953062.3546
        15009.0000              .0000     871234289.2506
        15009.0000              .0000     872515516.1465
        15009.0000              .0000     873796743.0425
        15009.0000              .0000     875077969.9384
        15009.0000              .0000     876359196.8344
        15009.0000              .0000     877640423.7303
        15009.0000              .0000     878921650.6263
        15009.0000              .0000     880202877.5223
        15009.0000              .0000     881484104.4182
        15009.0000              .0000     882765331.3142
        15009.0000              .0000     884046558.2101
        15009.0000              .0000     885327785.1061
        15009.0000              .0000     886609012.0020
        15009.0000              .0000     887890238.8980
        15009.0000              .0000     889171465.7940
        15009.0000              .0000     890452692.6899
        15009.0000              .0000     891733919.5859
        15009.0000              .0000     893015146.4818
        15009.0000              .0000     894296373.3778
        15009.0000              .0000     895577600.2737
        15009.0000              .0000     896858827.1697
        15009.0000              .0000     898140054.0657
        15009.0000              .0000     899421280.9616
        15009.0000              .0000     900702507.8576
        15009.0000              .0000     901983734.7535
        15009.0000              .0000     903264961.6495
        15009.0000              .0000     904546188.5454
        15009.0000              .0000     905827415.4414
        15009.0000              .0000     907108642.3374
        15009.0000              .0000     908389869.2333
        15009.0000              .0000     909671096.1293
        15009.0000              .0000     910952323.0252
        15009.0000              .0000     912233549.9212
        15009.0000              .0000     913514776.8171
        15009.0000              .0000     914796003.7131
        15009.0000              .0000     916077230.6090
        15009.0000              .0000     917358457.5050
        15009.0000              .0000     918639684.4010
        15009.0000              .0000     919920911.2969
        15009.0000              .0000     921202138.1929
        15009.0000              .0000     922483365.0888
        15009.0000              .0000     923764591.9848
        15009.0000              .0000     925045818.8807
        15009.0000              .0000     926327045.7767
        15009.0000              .0000     927608272.6727
        15009.0000              .0000     928889499.5686
        15009.0000              .0000     930170726.4646
        15009.0000              .0000     931451953.3605
        15009.0000              .0000     932733180.2565
        15009.0000              .0000     934014407.1524
